ENSG00000223972.5	chr1:11869
ENSG00000207938.1	chr10:17845107
ENSG00000235637.1	chr10:17865471
ENSG00000148482.11	chr10:17951839
ENSG00000226083.5	chr10:18010562
ENSG00000165995.18	chr10:18140677
ENSG00000235020.4	chr10:18261194
ENSG00000240291.1	chr10:18545651
ENSG00000225527.1	chr10:18533336
ENSG00000241058.3	chr10:18659285
ENSG00000165997.4	chr10:18659405
ENSG00000225509.1	chr10:18735745
ENSG00000234244.1	chr10:18746433
ENSG00000234813.1	chr10:18940501
ENSG00000204740.10	chr10:19048771
ENSG00000226255.1	chr10:19051455
ENSG00000227734.1	chr10:19291480
ENSG00000239539.1	chr10:19489101
ENSG00000236960.1	chr10:19491299
ENSG00000200545.2	chr10:19598247
ENSG00000252001.1	chr10:19633812
ENSG00000233968.6	chr10:19728550
ENSG00000283456.1	chr10:19747435
ENSG00000230818.1	chr10:19747823
ENSG00000252832.1	chr10:19793101
ENSG00000120594.16	chr10:19816239
ENSG00000238246.1	chr10:20091784
ENSG00000228339.1	chr10:20350049
ENSG00000270727.1	chr10:20547171
ENSG00000265372.1	chr10:20551970
ENSG00000078114.18	chr10:21174187
ENSG00000235940.1	chr10:20804293
ENSG00000230112.1	chr10:20841375
ENSG00000228753.1	chr10:21028999
ENSG00000228219.1	chr10:21110682
ENSG00000204683.10	chr10:21146559
ENSG00000231920.1	chr10:21174014
ENSG00000228860.1	chr10:21217891
ENSG00000232853.1	chr10:21247752
ENSG00000207264.1	chr10:21321961
ENSG00000230109.1	chr10:21372950
ENSG00000231553.1	chr10:21394033
ENSG00000278650.1	chr10:21452197
ENSG00000273566.1	chr10:21455515
ENSG00000199222.1	chr10:21481716
ENSG00000204682.5	chr10:21497262
ENSG00000222071.1	chr10:21496641
ENSG00000180592.16	chr10:21526368
ENSG00000078403.16	chr10:21524675
ENSG00000207347.1	chr10:21564577
ENSG00000223984.1	chr10:21626286
ENSG00000201390.1	chr10:21661741
ENSG00000136770.10	chr10:22003769
ENSG00000252634.1	chr10:21785292
ENSG00000279623.1	chr10:21865921
ENSG00000201364.1	chr10:21933143
ENSG00000232497.1	chr10:22162992
ENSG00000236777.1	chr10:22163092
ENSG00000223601.2	chr10:22210021
ENSG00000260205.1	chr10:22218074
ENSG00000227462.1	chr10:22225698
ENSG00000279631.1	chr10:22252072
ENSG00000261671.1	chr10:22257786
ENSG00000233318.2	chr10:22266991
ENSG00000148444.15	chr10:22315974
ENSG00000269897.5	chr10:22316388
ENSG00000168283.13	chr10:22321211
ENSG00000272516.1	chr10:22332404
ENSG00000271981.1	chr10:22332981
ENSG00000272366.1	chr10:22340615
ENSG00000077327.15	chr10:22345445
ENSG00000233451.1	chr10:22361172
ENSG00000150867.13	chr10:22714555
ENSG00000279819.1	chr10:22694639
ENSG00000206842.1	chr10:22787393
ENSG00000165309.13	chr10:22928024
ENSG00000223131.1	chr10:22997255
ENSG00000148450.12	chr10:23095506
ENSG00000229932.3	chr10:23136924
ENSG00000252049.1	chr10:23166985
ENSG00000168267.6	chr10:23192327
ENSG00000179133.12	chr10:23344845
ENSG00000227537.1	chr10:23258211
ENSG00000224215.1	chr10:23343957
ENSG00000264574.1	chr10:23393405
ENSG00000165312.6	chr10:23439458
ENSG00000120549.17	chr10:23694746
ENSG00000223928.1	chr10:24157835
ENSG00000277563.1	chr10:24255246
ENSG00000207930.1	chr10:24275685
ENSG00000279029.1	chr10:24483034
ENSG00000107863.17	chr10:24723668
ENSG00000199535.1	chr10:24640166
ENSG00000099256.18	chr10:24952604
ENSG00000228667.1	chr10:24867645
ENSG00000240294.2	chr10:24908812
ENSG00000273107.1	chr10:24953241
ENSG00000151023.16	chr10:25062279
ENSG00000185875.12	chr10:25016658
ENSG00000231422.2	chr10:25113058
ENSG00000233642.1	chr10:25176276
ENSG00000151025.9	chr10:25175062
ENSG00000274242.1	chr10:25244854
ENSG00000222543.1	chr10:25393844
ENSG00000227465.1	chr10:25648104
ENSG00000280809.2	chr10:25651712
ENSG00000271563.1	chr10:25691537
ENSG00000223019.1	chr10:25813917
ENSG00000251711.1	chr10:25819426
ENSG00000226304.1	chr10:25933710
ENSG00000095777.14	chr10:25934267
ENSG00000136750.11	chr10:26216307
ENSG00000077420.15	chr10:26438203
ENSG00000199733.1	chr10:26509589
ENSG00000236894.3	chr10:26622338
ENSG00000233261.3	chr10:26589865
ENSG00000234296.1	chr10:26643228
ENSG00000231976.8	chr10:26647986
ENSG00000227932.2	chr10:26697295
ENSG00000279212.1	chr10:26697625
ENSG00000148459.15	chr10:26697659
ENSG00000234788.1	chr10:26714622
ENSG00000235843.1	chr10:26717635
ENSG00000136754.16	chr10:26861087
ENSG00000223027.1	chr10:26789017
ENSG00000206605.1	chr10:26790646
ENSG00000283709.1	chr10:26944418
ENSG00000107890.16	chr10:27100498
ENSG00000199855.1	chr10:27088427
ENSG00000136758.18	chr10:27155266
ENSG00000120539.14	chr10:27154824
ENSG00000252639.1	chr10:27193500
ENSG00000107897.18	chr10:27242130
ENSG00000251839.1	chr10:27232316
ENSG00000262412.1	chr10:27243130
ENSG00000230445.4	chr10:27259455
ENSG00000238021.6	chr10:27258762
ENSG00000278830.1	chr10:27313723
ENSG00000200369.1	chr10:27315120
ENSG00000215409.4	chr10:27341252
ENSG00000207135.1	chr10:27335607
ENSG00000260151.1	chr10:27343436
ENSG00000213770.3	chr10:27350290
ENSG00000237956.1	chr10:27378362
ENSG00000182077.10	chr10:27414368
ENSG00000099246.16	chr10:27504174
ENSG00000150051.13	chr10:27746060
ENSG00000230500.1	chr10:27744786
ENSG00000251810.1	chr10:27784053
ENSG00000169126.15	chr10:27999048
ENSG00000226016.1	chr10:27904209
ENSG00000233472.1	chr10:27999788
ENSG00000226395.1	chr10:28004702
ENSG00000150054.18	chr10:28334486
ENSG00000275036.1	chr10:28289350
ENSG00000282996.1	chr10:28303300
ENSG00000237746.1	chr10:28340942
ENSG00000222666.2	chr10:28408251
ENSG00000237128.1	chr10:28495813
ENSG00000224439.2	chr10:28436201
ENSG00000222705.1	chr10:28442896
ENSG00000254635.5	chr10:28532743
ENSG00000095787.21	chr10:28532493
ENSG00000252401.1	chr10:28652630
ENSG00000231911.1	chr10:28658987
ENSG00000207483.1	chr10:28667919
ENSG00000095739.10	chr10:28677342
ENSG00000236716.1	chr10:28743745
ENSG00000201001.1	chr10:28760803
ENSG00000235824.4	chr10:28796113
ENSG00000232624.6	chr10:28792668
ENSG00000271220.1	chr10:28806121
ENSG00000204365.5	chr10:28846408
ENSG00000199402.1	chr10:28874507
ENSG00000229605.5	chr10:28899484
ENSG00000120563.8	chr10:29289061
ENSG00000224597.9	chr10:29409402
ENSG00000274985.1	chr10:29422012
ENSG00000197321.14	chr10:29736781
ENSG00000207612.1	chr10:29545097
ENSG00000212411.1	chr10:29575306
ENSG00000216035.1	chr10:29602346
ENSG00000225976.5	chr10:29697935
ENSG00000222092.1	chr10:29711915
ENSG00000237936.1	chr10:29891467
ENSG00000165757.8	chr10:30115494
ENSG00000200887.1	chr10:30299673
ENSG00000230125.1	chr10:30302072
ENSG00000259994.1	chr10:30306066
ENSG00000107951.14	chr10:30374448
ENSG00000250833.1	chr10:30353706
ENSG00000241621.1	chr10:30374386
ENSG00000239625.3	chr10:30366299
ENSG00000284277.1	chr10:30368665
ENSG00000214434.2	chr10:30380174
ENSG00000235679.1	chr10:30383400
ENSG00000224473.1	chr10:30403776
ENSG00000107968.9	chr10:30433937
ENSG00000213778.2	chr10:30518861
ENSG00000228800.1	chr10:30554483
ENSG00000239744.3	chr10:30555904
ENSG00000230298.1	chr10:30576699
ENSG00000151033.8	chr10:30629762
ENSG00000234814.8	chr10:30655489
ENSG00000230720.1	chr10:30723251
ENSG00000183621.15	chr10:31031937
ENSG00000272914.1	chr10:30833387
ENSG00000237135.1	chr10:30921235
ENSG00000272381.1	chr10:31187883
ENSG00000237036.4	chr10:31320447
ENSG00000252479.1	chr10:31259599
ENSG00000148516.21	chr10:31318495
ENSG00000230397.1	chr10:31360955
ENSG00000223834.2	chr10:31604600
ENSG00000231855.1	chr10:31628599
ENSG00000237797.1	chr10:31707388
ENSG00000222412.1	chr10:31756136
ENSG00000165322.17	chr10:31928876
ENSG00000231148.1	chr10:31913143
ENSG00000230240.1	chr10:31983885
ENSG00000239731.3	chr10:31992381
ENSG00000170759.10	chr10:32056431
ENSG00000206660.1	chr10:32056746
ENSG00000234335.1	chr10:32103293
ENSG00000235113.1	chr10:32109861
ENSG00000234811.1	chr10:32111789
ENSG00000252482.1	chr10:32173684
ENSG00000217094.2	chr10:32188817
ENSG00000233190.1	chr10:32232245
ENSG00000227253.3	chr10:32266289
ENSG00000120616.15	chr10:32378798
ENSG00000226842.1	chr10:32281686
ENSG00000233825.1	chr10:32346499
ENSG00000229327.1	chr10:32347397
ENSG00000200484.1	chr10:32394665
ENSG00000216937.13	chr10:32446140
ENSG00000231245.2	chr10:32511737
ENSG00000273038.2	chr10:32889311
ENSG00000150093.18	chr10:33005792
ENSG00000228816.1	chr10:32944481
ENSG00000229656.6	chr10:32958845
ENSG00000234163.1	chr10:33023647
ENSG00000265319.2	chr10:33034924
ENSG00000229878.1	chr10:33035664
ENSG00000235962.5	chr10:33058407
ENSG00000233387.1	chr10:33116672
ENSG00000099250.17	chr10:33336262
ENSG00000238258.1	chr10:33211277
ENSG00000244356.3	chr10:33288601
ENSG00000273012.1	chr10:33341655
ENSG00000226412.1	chr10:33600040
ENSG00000203565.2	chr10:33684755
ENSG00000261683.1	chr10:33772658
ENSG00000226407.1	chr10:33864313
ENSG00000223470.3	chr10:33909238
ENSG00000148498.15	chr10:34815325
ENSG00000199200.2	chr10:34202074
ENSG00000234167.1	chr10:34488878
ENSG00000229235.1	chr10:34664101
ENSG00000215184.2	chr10:34676041
ENSG00000226386.1	chr10:34815767
ENSG00000232525.1	chr10:34875210
ENSG00000223047.1	chr10:34926775
ENSG00000222909.1	chr10:34942969
ENSG00000213724.4	chr10:34965069
ENSG00000283000.1	chr10:34969909
ENSG00000108094.14	chr10:35090642
ENSG00000266228.1	chr10:35079680
ENSG00000230534.6	chr10:35127020
ENSG00000095794.19	chr10:35126791
ENSG00000253054.1	chr10:35135443
ENSG00000233343.1	chr10:35158306
ENSG00000269952.1	chr10:35210416
ENSG00000233200.1	chr10:35230598
ENSG00000253070.1	chr10:35231394
ENSG00000108100.17	chr10:35247025
ENSG00000200097.1	chr10:35251052
ENSG00000271335.5	chr10:35336401
ENSG00000273312.2	chr10:35608153
ENSG00000177291.3	chr10:35605410
ENSG00000177283.7	chr10:35642278
ENSG00000284265.1	chr10:35641252
ENSG00000226646.1	chr10:35697300
ENSG00000280719.1	chr10:35778302
ENSG00000227313.1	chr10:35898963
ENSG00000227475.1	chr10:36089389
ENSG00000236626.1	chr10:36434484
ENSG00000228694.1	chr10:36435174
ENSG00000237002.6	chr10:36438616
ENSG00000274458.1	chr10:36438661
ENSG00000229644.6	chr10:36524234
ENSG00000207271.1	chr10:36626138
ENSG00000238176.1	chr10:36940109
ENSG00000233533.1	chr10:36944738
ENSG00000225355.1	chr10:36995023
ENSG00000148513.17	chr10:37125788
ENSG00000206796.1	chr10:37135237
ENSG00000234918.1	chr10:37240887
ENSG00000240800.1	chr10:37248118
ENSG00000244402.3	chr10:37297398
ENSG00000252621.1	chr10:37303109
ENSG00000235687.8	chr10:37309185
ENSG00000237970.1	chr10:37337415
ENSG00000236313.1	chr10:37348616
ENSG00000224920.1	chr10:37523011
ENSG00000225276.1	chr10:37601368
ENSG00000256892.2	chr10:37602974
ENSG00000226578.1	chr10:37784131
ENSG00000198105.13	chr10:37858106
ENSG00000260137.1	chr10:37791580
ENSG00000225192.1	chr10:37796109
ENSG00000228828.1	chr10:37820982
ENSG00000236514.1	chr10:37857740
ENSG00000151963.4	chr10:37883594
ENSG00000235197.1	chr10:37894637
ENSG00000175395.15	chr10:37976633
ENSG00000226447.1	chr10:37976825
ENSG00000206840.1	chr10:37994863
ENSG00000189180.15	chr10:38010650
ENSG00000252132.1	chr10:38043975
ENSG00000275675.1	chr10:38068694
ENSG00000226086.5	chr10:38080877
ENSG00000235964.1	chr10:38092051
ENSG00000075407.18	chr10:38094334
ENSG00000283930.1	chr10:38094368
ENSG00000272983.1	chr10:38137337
ENSG00000225965.1	chr10:38161570
ENSG00000224761.4	chr10:38164648
ENSG00000226113.1	chr10:38247922
ENSG00000234941.1	chr10:38250603
ENSG00000099251.14	chr10:38356380
ENSG00000120555.13	chr10:38402916
ENSG00000276805.2	chr10:38403189
ENSG00000222314.1	chr10:38423625
ENSG00000228882.1	chr10:38455365
ENSG00000203496.9	chr10:38453181
ENSG00000215151.4	chr10:38601418
ENSG00000277133.1	chr10:38617255
ENSG00000225638.1	chr10:38635908
ENSG00000233867.2	chr10:38689068
ENSG00000227264.3	chr10:38696424
ENSG00000234541.2	chr10:38713195
ENSG00000227679.1	chr10:38762491
ENSG00000233832.1	chr10:38783004
ENSG00000229485.1	chr10:42149549
ENSG00000237592.2	chr10:42185339
ENSG00000271650.1	chr10:42209990
ENSG00000274167.4	chr10:42242721
ENSG00000228755.1	chr10:42281819
ENSG00000215146.4	chr10:42367974
ENSG00000182632.15	chr10:42475349
ENSG00000279239.1	chr10:42470268
ENSG00000185904.11	chr10:42475543
ENSG00000234420.7	chr10:42552822
ENSG00000270762.1	chr10:42555440
ENSG00000233837.1	chr10:42566677
ENSG00000196693.14	chr10:42638568
ENSG00000277479.1	chr10:42578500
ENSG00000272319.2	chr10:42579724
ENSG00000272387.2	chr10:42583241
ENSG00000251783.1	chr10:42605158
ENSG00000232109.1	chr10:42660728
ENSG00000233515.1	chr10:42691723
ENSG00000231009.1	chr10:42714575
ENSG00000234864.1	chr10:42696035
ENSG00000230425.1	chr10:42725857
ENSG00000270552.1	chr10:42748687
ENSG00000259869.1	chr10:42752145
ENSG00000165733.7	chr10:42782801
ENSG00000252416.1	chr10:42832550
ENSG00000234944.1	chr10:42871521
ENSG00000229630.1	chr10:42981507
ENSG00000263795.1	chr10:42997563
ENSG00000165731.18	chr10:43077027
ENSG00000273008.1	chr10:43138334
ENSG00000169826.7	chr10:43138486
ENSG00000198915.11	chr10:43266919
ENSG00000224265.1	chr10:43323665
ENSG00000221468.1	chr10:43341786
ENSG00000150201.14	chr10:43371642
ENSG00000169813.16	chr10:43409166
ENSG00000221400.2	chr10:43417438
ENSG00000230555.2	chr10:43420738
ENSG00000243660.9	chr10:43436841
ENSG00000252532.1	chr10:43458065
ENSG00000236114.1	chr10:43523256
ENSG00000196793.13	chr10:43574618
ENSG00000232004.1	chr10:43606251
ENSG00000198298.12	chr10:43606407
ENSG00000223910.1	chr10:43628817
ENSG00000237389.1	chr10:43631564
ENSG00000238263.1	chr10:43630947
ENSG00000169740.13	chr10:43648856
ENSG00000226245.1	chr10:43643872
ENSG00000230565.1	chr10:43645942
ENSG00000228426.1	chr10:43665668
ENSG00000271173.1	chr10:43728217
ENSG00000224162.1	chr10:43732334
ENSG00000223746.1	chr10:43742350
ENSG00000234973.5	chr10:43778825
ENSG00000226790.3	chr10:43790387
ENSG00000204187.5	chr10:43845306
ENSG00000226808.1	chr10:43859411
ENSG00000236769.1	chr10:43912326
ENSG00000227029.1	chr10:43912444
ENSG00000233395.1	chr10:43939003
ENSG00000237590.1	chr10:44261813
ENSG00000229116.2	chr10:44293709
ENSG00000277288.3	chr10:44292569
ENSG00000107562.16	chr10:44386493
ENSG00000214089.3	chr10:44415153
ENSG00000270767.1	chr10:44488445
ENSG00000234580.1	chr10:44602104
ENSG00000227395.1	chr10:44806443
ENSG00000224812.2	chr10:44959689
ENSG00000234504.2	chr10:44920220
ENSG00000187783.11	chr10:44911200
ENSG00000223462.2	chr10:44937508
ENSG00000273363.1	chr10:44959458
ENSG00000107551.20	chr10:44959407
ENSG00000165507.8	chr10:44978810
ENSG00000165511.6	chr10:45000888
ENSG00000165512.4	chr10:45000475
ENSG00000226937.9	chr10:45076066
ENSG00000277757.4	chr10:45147221
ENSG00000270258.1	chr10:45055656
ENSG00000228462.1	chr10:45073541
ENSG00000232554.8	chr10:45154596
ENSG00000235690.2	chr10:45127318
ENSG00000243349.2	chr10:45147394
ENSG00000236442.1	chr10:45151915
ENSG00000230501.1	chr10:45156775
ENSG00000263476.1	chr10:45164014
ENSG00000227683.1	chr10:45181427
ENSG00000275312.1	chr10:45180400
ENSG00000278531.1	chr10:45198323
ENSG00000207071.1	chr10:45188896
ENSG00000234993.1	chr10:45247361
ENSG00000224402.1	chr10:45258185
ENSG00000256574.6	chr10:45315608
ENSG00000012779.10	chr10:45374176
ENSG00000231964.1	chr10:45453121
ENSG00000165406.15	chr10:45594906
ENSG00000172671.19	chr10:45672780
ENSG00000230869.1	chr10:45678692
ENSG00000237840.6	chr10:45727231
ENSG00000228702.1	chr10:45726038
ENSG00000172661.17	chr10:45727200
ENSG00000270434.1	chr10:45812944
ENSG00000231122.5	chr10:45817324
ENSG00000188234.13	chr10:45853875
ENSG00000239883.8	chr10:45972154
ENSG00000239152.1	chr10:45856307
ENSG00000264217.2	chr10:45940522
ENSG00000265354.3	chr10:45972449
ENSG00000265733.1	chr10:45984610
ENSG00000266412.5	chr10:46030714
ENSG00000263639.5	chr10:46046269
ENSG00000280012.2	chr10:46063250
ENSG00000264204.2	chr10:46109621
ENSG00000263482.3	chr10:46273557
ENSG00000274209.4	chr10:46286345
ENSG00000279058.2	chr10:46337224
ENSG00000273225.4	chr10:46369113
ENSG00000279458.2	chr10:46370759
ENSG00000264230.7	chr10:46375627
ENSG00000213412.3	chr10:46415853
ENSG00000204174.7	chr10:46465881
ENSG00000204175.5	chr10:46555530
ENSG00000204176.13	chr10:46578217
ENSG00000231187.2	chr10:46598145
ENSG00000229227.8	chr10:46597918
ENSG00000165874.12	chr10:46652025
ENSG00000272430.1	chr10:46632387
ENSG00000229927.2	chr10:46635466
ENSG00000274186.1	chr10:46648948
ENSG00000280913.2	chr10:46753605
ENSG00000265366.6	chr10:46786770
ENSG00000215097.3	chr10:46776180
ENSG00000204177.10	chr10:46786674
ENSG00000238405.1	chr10:46807573
ENSG00000243289.1	chr10:46816516
ENSG00000150175.13	chr10:46870858
ENSG00000204179.10	chr10:46911396
ENSG00000266524.2	chr10:47300386
ENSG00000263761.2	chr10:47322490
ENSG00000265203.1	chr10:47348371
ENSG00000265763.3	chr10:47384273
ENSG00000265190.6	chr10:47484158
ENSG00000270369.1	chr10:47484754
ENSG00000189090.7	chr10:47491693
ENSG00000224919.1	chr10:47496212
ENSG00000204172.12	chr10:47523638
ENSG00000254929.6	chr10:47553514
ENSG00000252877.1	chr10:47532352
ENSG00000251079.6	chr10:47551954
ENSG00000265630.2	chr10:47563604
ENSG00000215065.3	chr10:47564256
ENSG00000266217.2	chr10:47582321
ENSG00000264404.2	chr10:47599830
ENSG00000189014.7	chr10:47689707
ENSG00000276544.1	chr10:47692727
ENSG00000226964.1	chr10:47706203
ENSG00000277758.4	chr10:47763592
ENSG00000276850.4	chr10:47991850
ENSG00000264717.5	chr10:47918739
ENSG00000273760.1	chr10:47973496
ENSG00000276430.2	chr10:47999791
ENSG00000265018.6	chr10:48031640
ENSG00000252149.1	chr10:48040462
ENSG00000270025.2	chr10:48060016
ENSG00000278561.1	chr10:48119455
ENSG00000170324.20	chr10:48274870
ENSG00000225482.1	chr10:48292699
ENSG00000107643.15	chr10:48306639
ENSG00000279822.1	chr10:48445820
ENSG00000128805.14	chr10:48656265
ENSG00000248682.1	chr10:48511589
ENSG00000231906.1	chr10:48546713
ENSG00000251413.1	chr10:48625093
ENSG00000236800.1	chr10:48672424
ENSG00000128815.19	chr10:48684876
ENSG00000228754.1	chr10:48746128
ENSG00000228403.1	chr10:48878022
ENSG00000241577.1	chr10:48935213
ENSG00000165383.11	chr10:48914232
ENSG00000233665.8	chr10:48993046
ENSG00000226576.1	chr10:48984564
ENSG00000264800.1	chr10:48985587
ENSG00000165633.12	chr10:49115509
ENSG00000234736.5	chr10:49121839
ENSG00000172538.6	chr10:49134008
ENSG00000204161.13	chr10:49188585
ENSG00000236208.1	chr10:49299018
ENSG00000177354.11	chr10:49299193
ENSG00000165606.8	chr10:49396016
ENSG00000235939.1	chr10:49419277
ENSG00000225830.12	chr10:49539538
ENSG00000271237.1	chr10:49551308
ENSG00000070748.18	chr10:49609095
ENSG00000187714.6	chr10:49610301
ENSG00000178645.12	chr10:49679651
ENSG00000197444.9	chr10:49762379
ENSG00000226389.3	chr10:49771841
ENSG00000229870.1	chr10:49815096
ENSG00000227345.8	chr10:49970203
ENSG00000230166.1	chr10:49909613
ENSG00000204152.10	chr10:49942033
ENSG00000223111.1	chr10:49954214
ENSG00000178440.5	chr10:49972763
ENSG00000222108.1	chr10:49979780
ENSG00000204149.10	chr10:49982190
ENSG00000235618.7	chr10:50067803
ENSG00000226631.1	chr10:50027363
ENSG00000099290.15	chr10:50067888
ENSG00000233011.1	chr10:50150603
ENSG00000188611.14	chr10:50248610
ENSG00000225137.1	chr10:50264978
ENSG00000198964.13	chr10:50625163
ENSG00000279863.1	chr10:50334538
ENSG00000225303.2	chr10:50472814
ENSG00000238523.1	chr10:50590712
ENSG00000226200.6	chr10:50624951
ENSG00000231588.1	chr10:50631075
ENSG00000231345.3	chr10:50655967
ENSG00000232706.3	chr10:50676743
ENSG00000226168.1	chr10:50695592
ENSG00000230011.2	chr10:50708906
ENSG00000213667.3	chr10:50727969
ENSG00000204147.9	chr10:50739318
ENSG00000148584.14	chr10:50885675
ENSG00000229711.1	chr10:50824525
ENSG00000236944.1	chr10:50963358
ENSG00000261368.1	chr10:50964270
ENSG00000185532.15	chr10:50991358
ENSG00000223502.1	chr10:51068553
ENSG00000231132.1	chr10:51245806
ENSG00000207813.1	chr10:51299573
ENSG00000235279.1	chr10:51302566
ENSG00000213659.4	chr10:51319826
ENSG00000177613.8	chr10:51699591
ENSG00000236671.7	chr10:52314128
ENSG00000107984.9	chr10:52314296
ENSG00000213657.3	chr10:52389488
ENSG00000227972.1	chr10:52411135
ENSG00000231131.6	chr10:52470533
ENSG00000228651.1	chr10:52755409
ENSG00000165471.6	chr10:52771700
ENSG00000201196.1	chr10:52852607
ENSG00000227121.1	chr10:52975815
ENSG00000231399.1	chr10:53038285
ENSG00000226296.1	chr10:53311065
ENSG00000252161.1	chr10:53458197
ENSG00000233805.1	chr10:53766400
ENSG00000150275.17	chr10:55627942
ENSG00000252252.1	chr10:54452511
ENSG00000234173.1	chr10:54486230
ENSG00000224697.1	chr10:54599678
ENSG00000221594.1	chr10:54607957
ENSG00000236958.1	chr10:54869122
ENSG00000236744.2	chr10:55597233
ENSG00000223800.1	chr10:55468327
ENSG00000228048.1	chr10:55506219
ENSG00000249860.3	chr10:55599303
ENSG00000236993.2	chr10:55668350
ENSG00000270541.1	chr10:55746551
ENSG00000122952.16	chr10:56361275
ENSG00000238707.1	chr10:56596031
ENSG00000264747.1	chr10:57304559
ENSG00000235810.1	chr10:57513157
ENSG00000223841.1	chr10:57955295
ENSG00000270192.1	chr10:57982285
ENSG00000232115.1	chr10:58106879
ENSG00000151151.5	chr10:58267934
ENSG00000180221.6	chr10:58213036
ENSG00000122873.11	chr10:58269058
ENSG00000228527.1	chr10:58304553
ENSG00000261076.1	chr10:58327030
ENSG00000072401.14	chr10:58334975
ENSG00000108064.10	chr10:58385022
ENSG00000122870.11	chr10:58513140
ENSG00000183055.5	chr10:58715554
ENSG00000252076.1	chr10:58869184
ENSG00000237949.1	chr10:58999626
ENSG00000226888.2	chr10:59089039
ENSG00000226557.1	chr10:59138182
ENSG00000165443.11	chr10:59176590
ENSG00000148541.12	chr10:59363181
ENSG00000236556.1	chr10:59282147
ENSG00000235469.1	chr10:59551878
ENSG00000235140.1	chr10:59589150
ENSG00000165449.11	chr10:59736002
ENSG00000227877.6	chr10:59756041
ENSG00000108091.10	chr10:59906656
ENSG00000235931.2	chr10:59960913
ENSG00000151150.21	chr10:60733490
ENSG00000232682.2	chr10:60050668
ENSG00000202190.1	chr10:60081741
ENSG00000282121.1	chr10:60139912
ENSG00000122872.8	chr10:60684505
ENSG00000254271.1	chr10:60734342
ENSG00000170312.15	chr10:60778331
ENSG00000072422.16	chr10:61001440
ENSG00000223107.1	chr10:60912927
ENSG00000227244.2	chr10:61016275
ENSG00000196932.11	chr10:61453450
ENSG00000237233.2	chr10:61452639
ENSG00000183346.6	chr10:61662961
ENSG00000272592.1	chr10:61685388
ENSG00000233643.2	chr10:61821246
ENSG00000150347.14	chr10:61901300
ENSG00000182010.10	chr10:62268707
ENSG00000234756.1	chr10:62289521
ENSG00000240940.3	chr10:62350006
ENSG00000138311.15	chr10:62374192
ENSG00000234489.1	chr10:62741385
ENSG00000238280.1	chr10:62805887
ENSG00000181915.4	chr10:62804857
ENSG00000122877.15	chr10:62919900
ENSG00000199446.1	chr10:63110139
ENSG00000224301.1	chr10:63125537
ENSG00000148572.15	chr10:63133247
ENSG00000171988.18	chr10:63521850
ENSG00000234369.1	chr10:63222155
ENSG00000270421.1	chr10:63358745
ENSG00000221063.3	chr10:63373048
ENSG00000235816.3	chr10:63427297
ENSG00000272767.1	chr10:63465229
ENSG00000224412.1	chr10:63489461
ENSG00000165476.13	chr10:63521363
ENSG00000232075.1	chr10:63634827
ENSG00000270352.1	chr10:63658074
ENSG00000228566.1	chr10:63664664
ENSG00000213609.3	chr10:63903245
ENSG00000226426.1	chr10:64037280
ENSG00000235489.4	chr10:64170850
ENSG00000233900.1	chr10:64620922
ENSG00000270648.1	chr10:64763172
ENSG00000216740.2	chr10:64825572
ENSG00000224714.2	chr10:64924518
ENSG00000270754.1	chr10:65054460
ENSG00000282906.1	chr10:65123667
ENSG00000227173.1	chr10:65169869
ENSG00000233724.1	chr10:65248792
ENSG00000235356.1	chr10:65313785
ENSG00000228065.10	chr10:65570338
ENSG00000183230.16	chr10:67696169
ENSG00000273360.1	chr10:66079243
ENSG00000277056.1	chr10:66837457
ENSG00000198739.10	chr10:66926006
ENSG00000225299.1	chr10:67052609
ENSG00000226448.1	chr10:67334123
ENSG00000276866.1	chr10:67403410
ENSG00000213606.3	chr10:67750284
ENSG00000225922.1	chr10:67793770
ENSG00000108176.14	chr10:67838166
ENSG00000212520.1	chr10:67808502
ENSG00000239942.2	chr10:67825600
ENSG00000237141.1	chr10:67833763
ENSG00000272892.1	chr10:67849525
ENSG00000252113.2	chr10:67858871
ENSG00000219932.6	chr10:67874332
ENSG00000096717.11	chr10:67884669
ENSG00000148634.15	chr10:68075348
ENSG00000226318.1	chr10:67961464
ENSG00000266467.2	chr10:68008017
ENSG00000236375.3	chr10:68010862
ENSG00000138347.15	chr10:68106117
ENSG00000222371.1	chr10:68158079
ENSG00000179774.8	chr10:68232103
ENSG00000233590.1	chr10:68242379
ENSG00000234102.1	chr10:68260557
ENSG00000108187.15	chr10:68333049
ENSG00000096746.17	chr10:68331174
ENSG00000204130.12	chr10:68407294
ENSG00000138346.14	chr10:68472121
ENSG00000234806.1	chr10:68424560
ENSG00000199638.1	chr10:68461407
ENSG00000122912.14	chr10:68527474
ENSG00000226493.1	chr10:68499532
ENSG00000207438.1	chr10:68503152
ENSG00000214881.4	chr10:68544833
ENSG00000138336.8	chr10:68560656
ENSG00000213025.2	chr10:68632371
ENSG00000227583.1	chr10:68674356
ENSG00000260400.1	chr10:68698500
ENSG00000270494.1	chr10:68717795
ENSG00000060339.13	chr10:68721012
ENSG00000195401.2	chr10:68735823
ENSG00000283551.1	chr10:68755172
ENSG00000221184.1	chr10:68759318
ENSG00000165730.14	chr10:68827541
ENSG00000200218.1	chr10:68846805
ENSG00000107625.12	chr10:68901278
ENSG00000206855.1	chr10:68911759
ENSG00000165732.12	chr10:68956128
